main_category,food_category,count
Mexican Restaurant,Mexican Restaurant,101
Pizza Place,Pizza Place,87
Italian Restaurant,Italian Restaurant,84
American Restaurant,American Restaurant,81
Sandwich Place,Sandwich Place,63
Seafood Restaurant,Seafood Restaurant,53
Sushi Restaurant,Japanese Restaurant,53
Japanese Restaurant,Japanese Restaurant,48
Bakery,Cafe & Bistro,45
Café,Cafe & Bistro,42
Burger Joint,Burger Joint,41
New American Restaurant,American Restaurant,36
Asian Restaurant,Asian Restaurant,35
Mediterranean Restaurant,Mediterranean Restaurant,35
Restaurant,Comfort Food Restaurant,33
Chinese Restaurant,Asian Restaurant,27
BBQ Joint,Steakhouse,27
Food Truck,Fast Food Restaurant,27
Vietnamese Restaurant,Asian Restaurant,26
Steakhouse,Steakhouse,22
Gastropub,European Restaurant,21
French Restaurant,European Restaurant,20
Vegetarian / Vegan Restaurant,Salad Place,20
Breakfast Spot,Comfort Food Restaurant,18
Thai Restaurant,Asian Restaurant,18
Fast Food Restaurant,Fast Food Restaurant,15
Deli / Bodega,Sandwich Place,15
Indian Restaurant,Asian Restaurant,15
Salad Place,Salad Place,14
Diner,Comfort Food Restaurant,14
Greek Restaurant,Mediterranean Restaurant,14
Food Court,Fast Food Restaurant,13
Donut Shop,Snack Place,13
Taco Place,Mexican Restaurant,13
Noodle House,Asian Restaurant,12
Hot Dog Joint,Fast Food Restaurant,11
Ramen Restaurant,Asian Restaurant,10
Middle Eastern Restaurant,Asian Restaurant,8
Korean Restaurant,Asian Restaurant,8
Fried Chicken Joint,Fast Food Restaurant,7
Southern / Soul Food Restaurant,American Restaurant,7
Tapas Restaurant,Latin American Restaurant,7
Burrito Place,Mexican Restaurant,7
Creperie,Snack Place,7
Latin American Restaurant,Latin American Restaurant,7
Caribbean Restaurant,Latin American Restaurant,7
Cajun / Creole Restaurant,American Restaurant,6
Peruvian Restaurant,Latin American Restaurant,6
German Restaurant,European Restaurant,5
Irish Pub,European Restaurant,5
Turkish Restaurant,Asian Restaurant,4
Hawaiian Restaurant,American Restaurant,4
Wings Joint,Fast Food Restaurant,4
Cuban Restaurant,Latin American Restaurant,4
Snack Place,Snack Place,4
Bagel Shop,Snack Place,4
Eastern European Restaurant,European Restaurant,3
Spanish Restaurant,Latin American Restaurant,3
Dim Sum Restaurant,Asian Restaurant,3
Food,Comfort Food Restaurant,3
North Indian Restaurant,Asian Restaurant,3
Filipino Restaurant,Asian Restaurant,3
Udon Restaurant,Asian Restaurant,3
Brazilian Restaurant,Steakhouse,3
Argentinian Restaurant,Steakhouse,2
Comfort Food Restaurant,Comfort Food Restaurant,2
Bistro,Cafe & Bistro,2
African Restaurant,Mediterranean Restaurant,2
Afghan Restaurant,Asian Restaurant,2
Theme Restaurant,Comfort Food Restaurant,2
Souvlaki Shop,Mediterranean Restaurant,2
Falafel Restaurant,Asian Restaurant,2
Fish & Chips Shop,Seafood Restaurant,2
Russian Restaurant,Asian Restaurant,2
Hotpot Restaurant,Asian Restaurant,2
Lebanese Restaurant,Asian Restaurant,2
Israeli Restaurant,Asian Restaurant,2
Poke Place,Salad Place,2
English Restaurant,European Restaurant,1
Pet Café,Cafe & Bistro,1
Pakistani Restaurant,Asian Restaurant,1
Belgian Restaurant,European Restaurant,1
Australian Restaurant,Asian Restaurant,1
Portuguese Restaurant,European Restaurant,1
Modern European Restaurant,European Restaurant,1
South Indian Restaurant,Asian Restaurant,1
Mongolian Restaurant,Asian Restaurant,1
Mac & Cheese Joint,Fast Food Restaurant,1
Buffet,Comfort Food Restaurant,1
Malay Restaurant,Asian Restaurant,1
Empanada Restaurant,Latin American Restaurant,1
Kebab Restaurant,Asian Restaurant,1
Cantonese Restaurant,Asian Restaurant,1
Jewish Restaurant,Asian Restaurant,1
Japanese Curry Restaurant,Japanese Restaurant,1
Indonesian Restaurant,Asian Restaurant,1
Gluten-free Restaurant,Salad Place,1
Food Stand,Fast Food Restaurant,1
Dumpling Restaurant,Asian Restaurant,1
Ethiopian Restaurant,Mediterranean Restaurant,1
Yoshoku Restaurant,Asian Restaurant,1
